date,position,cash,mark,mkt_value,unrealized_pnl,signal,kc_upper,kc_lower,bb_upper,bb_lower,squeeze_on,atr,adx,daily_return,symbol,fold_id,test_year
2024-09-04,0,99008.45132595097,36.76,99008.45132595097,0.0,0,41.9975993557441,35.56868133946408,41.684251569385225,35.67074843061478,True,2.142972672093341,12.061788026263839,0.0,LEU,3,2024
2024-09-05,0,99008.45132595097,37.23,99008.45132595097,0.0,0,41.73471986967657,35.53572456884511,40.98877211463329,35.85922788536669,True,2.0663317669438164,12.290389005407238,0.0,LEU,3,2024
2024-09-06,0,99008.45132595097,35.36,99008.45132595097,0.0,0,41.44997268328869,35.196619903945205,40.835216458648645,35.48178354135135,True,2.0844509264478295,13.328419491179243,0.0,LEU,3,2024
2024-09-09,0,99008.45132595097,35.85,99008.45132595097,0.0,0,41.11537234177719,35.060116189529666,40.691140449940455,35.222859550059546,True,2.018418717415842,14.29230494225325,0.0,LEU,3,2024
2024-09-10,0,99008.45132595097,36.32,99008.45132595097,0.0,0,40.89361373961088,34.94516159823818,40.57782752311423,35.051172476885775,True,1.9828173804575673,14.781672970464722,0.0,LEU,3,2024
2024-09-11,0,99008.45132595097,39.89,99008.45132595097,0.0,0,41.27598924228333,34.9381408252944,40.8303612989442,35.0176387010558,True,2.1126161389963123,14.010958326955254,0.0,LEU,3,2024
2024-09-12,0,99008.45132595097,39.4,99008.45132595097,0.0,0,41.32063131941098,35.139772075064116,40.98184656653451,35.12115343346549,False,2.0602864147822895,13.310382940742699,0.0,LEU,3,2024
2024-09-13,0,99008.45132595097,39.53,99008.45132595097,0.0,0,41.332962375233116,35.37502164833959,41.13721567512391,35.20678432487608,False,1.9859802422978399,12.659848653545325,0.0,LEU,3,2024
2024-09-16,0,99008.45132595097,39.86,99008.45132595097,0.0,0,41.36967953862631,35.62516314936804,41.324338989270544,35.273661010729455,False,1.9148387964194231,12.090524301441036,0.0,LEU,3,2024
2024-09-17,0,99008.45132595097,39.86,99008.45132595097,0.0,0,41.45178763481974,35.8025938447942,41.42505651382381,35.25394348617619,False,1.8830645966751787,11.886814693104466,0.0,LEU,3,2024
2024-09-18,0,99008.45132595097,39.82,99008.45132595097,0.0,0,41.54148873852769,35.940094504932546,41.54090197560612,35.24409802439388,False,1.8671314111983806,11.992603092159278,0.0,LEU,3,2024
2024-09-19,0,99008.45132595097,41.45,99008.45132595097,0.0,0,41.77945879002023,36.21816414453903,41.86383627431531,35.10116372568469,False,1.8537648818270676,12.280985065889224,0.0,LEU,3,2024
2024-09-20,0,99008.45132595097,45.01,99008.45132595097,0.0,0,42.608692412940705,36.5339188135653,43.23989263584731,34.47310736415268,False,2.024924533125134,14.326282788096485,0.0,LEU,3,2024
